objectID,FrameDetected,wrongRate,RateHigherThan80%Frame
E:\updatebackground\10daysResult.csv.xlsx
E:\updatebackground\objectoutput2022-4-25-10-0-0.csv
1399,14,37,1,32,1
1401,6,65,0.8,0,0.625
1402,0,10,0.7,0,0.571429
1410,0,31,0.0322581,0,0.0322581
1422,125,142,1,137,1
1429,10,18,1,13,1
1431,254,268,0.996269,259,0.833333
1435,0,6,1,1,1
1437,0,63,0.0491803,0,0.0491803
1438,278,296,1,291,1
1447,0,36,0.428571,0,0.333333
1454,0,41,0.292683,0,0.0454545
1463,5,63,0.190476,0,0.0196078
1473,0,14,0,0,1
1477,0,34,0,0,1
1480,0,123,0.0406504,0,0.00854701
1482,0,7,0.571429,0,0.5
1485,0,8,0.5,0,0.333333
1490,0,10,0.75,0,0.666667
1491,0,7,0.333333,0,0.333333
1492,0,46,0,0,1
1496,0,79,0.0379747,0,0.0136986
1499,0,60,0.75,0,0.12069
1500,0,47,0,0,1
1507,0,30,0.571429,0,0.555556
1513,0,39,0,0,1
1515,0,59,0.5,0,0.444444
1520,0,21,0.047619,0,0.047619
1522,0,63,0.0483871,0,0.0327869
1523,0,73,0.0277778,0,0.0140845
1524,0,13,0,0,1
1554,0,54,0.0740741,0,0.0232558
1555,20,292,0.116438,0,0.00392157
1556,84,375,0.857143,0,0.2
1557,0,58,0.0862069,0,0.02
1559,0,72,0.125,0,0.015625
1560,0,7,0.285714,0,0.285714
1562,0,7,0,0,1
1566,0,13,0,0,1
1575,0,96,0,0,1
1582,0,73,0.0555556,0,0.0149254
1586,0,22,1,17,1
1588,0,89,0.5,0,0.0588235
1589,0,22,1,17,1
1592,0,64,0.109375,0,0.0350877
1594,0,6,1,1,1
1596,0,6,0.833333,0,0.833333
1599,17,75,1,17,0.673913
1600,0,30,0.1,0,0.04
1609,0,12,0.416667,0,0.125
1610,0,53,0.113208,0,0.0232558
1612,0,24,0,0,1
1615,0,45,0,0,1
1620,0,31,0.0333333,0,0.0333333
1623,0,11,0,0,1
1624,0,6,0,0,1
1625,0,33,0.0625,0,0.0357143
1628,0,9,0.444444,0,0.285714
1631,1,62,0.177419,0,0.02
1633,0,40,0.333333,0,0.0789474
1636,0,62,0.0483871,0,0.0169492
1637,0,46,0.357143,0,0.222222
1640,0,30,0,0,1
1641,0,49,0.166667,0,0.0263158
1646,0,42,0.27027,0,0.0434783
1655,0,15,0,0,1
1657,31,73,1,31,0.542857
1658,0,86,0.230769,0,0.222222
1659,0,9,1,4,1
1665,0,58,0,0,1
1667,0,57,0.140351,0,0.0222222
1668,0,14,0,0,1
1669,0,15,0,0,1
1677,0,36,0,0,1
1680,0,32,0.153846,0,0.111111
1681,0,12,0,0,1
1687,0,37,0.0277778,0,0.0277778
1696,2,12,0.916667,3,0.833333
1697,1,53,0.666667,0,0.173077
1703,0,17,0,0,1
1711,0,30,0.241379,0,0.05
1720,0,40,0,0,1
1723,0,43,0.5,0,0.4
1726,0,37,0,0,1
1729,0,11,0.363636,0,0.125
1731,0,33,0,0,1
1734,0,44,0.0227273,0,0.0227273
1736,1,65,0.2,0,0.02
1739,0,6,1,1,1
1740,0,10,0.333333,0,0.3
1742,0,28,0,0,1
1743,0,6,0,0,1
1750,0,14,0,0,1
1756,0,6,0,0,1
1758,0,34,0,0,1
1765,0,12,0,0,1
1768,0,29,0,0,1
1770,0,50,0,0,1
1773,0,7,0,0,1
1779,0,7,0.714286,0,0.666667
1786,0,32,0,0,1
1792,0,40,0,0,1
1796,0,30,0.133333,0,0.0416667
